Molecule,Natty (CCSD_T_DZ),Ref - Nat (CCSD_T_DZ),Ref (CCSD_T_TZ),Red (CCSD_T_DZ),Ref - Red (CCSD_T_DZ),Nat - Red CCSD_T_DZ,"Natty (B3LYP_6-31G_2df,p_)","Ref - Nat (B3LYP_6-31G_2df,p_)","Red (B3LYP_6-31G_2df,p_)","Ref - Red (B3LYP_6-31G_2df,p_)","Nat - Red B3LYP_6-31G_2df,p_"
SiH3SiH3 (1.51) mode 15,2229.68,-0.00,2229.68,2229.69,-0.01,-0.01,2229.95,-0.27,2229.70,-0.02,0.25
SiH3SiH3 (1.51) mode 16,2230.81,0.02,2230.82,2230.52,0.30,0.29,2230.82,0.00,2230.76,0.07,0.06
SiH3SiH3 (1.51) mode 17,2238.14,-0.00,2238.14,2238.14,-0.00,-0.00,2238.12,0.01,2238.14,-0.01,-0.02
SiH3SiH3 (1.51) mode 18,2238.16,-0.02,2238.14,2238.57,-0.43,-0.41,2238.15,-0.01,2238.38,-0.24,-0.23
SiH3CH3 (1.52) mode 1,204.58,-0.00,204.58,204.58,-0.00,-0.00,204.58,-0.00,204.58,-0.00,-0.00
SiH3CH3 (1.52) mode 2,517.92,-0.11,517.82,517.91,-0.09,0.02,518.10,-0.29,518.13,-0.31,-0.03
SiH3CH3 (1.52) mode 3,517.93,-0.11,517.82,517.92,-0.09,0.01,518.10,-0.28,518.13,-0.31,-0.03
SiH3CH3 (1.52) mode 4,705.58,-0.09,705.49,705.57,-0.08,0.00,705.73,-0.23,705.71,-0.22,0.01
SiH3CH3 (1.52) mode 5,887.66,-0.06,887.60,887.66,-0.06,-0.00,887.67,-0.07,887.68,-0.08,-0.00
SiH3CH3 (1.52) mode 6,887.66,-0.06,887.60,887.66,-0.06,-0.00,887.67,-0.07,887.70,-0.10,-0.03
SiH3CH3 (1.52) mode 7,957.94,0.01,957.95,957.94,0.01,-0.00,957.95,-0.01,957.94,0.00,0.01
SiH3CH3 (1.52) mode 8,973.68,-0.00,973.68,973.68,-0.00,0.00,973.55,0.13,973.56,0.11,-0.01
SiH3CH3 (1.52) mode 9,973.69,0.01,973.70,973.69,0.01,-0.00,973.56,0.14,973.57,0.12,-0.01
SiH3CH3 (1.52) mode 10,1294.06,0.02,1294.07,1294.06,0.01,-0.00,1294.01,0.07,1294.02,0.05,-0.01
SiH3CH3 (1.52) mode 11,1469.44,-0.03,1469.42,1469.45,-0.03,-0.01,1469.40,0.02,1469.37,0.04,0.03
SiH3CH3 (1.52) mode 12,1469.46,-0.02,1469.44,1469.46,-0.02,0.00,1469.42,0.02,1469.40,0.04,0.02
SiH3CH3 (1.52) mode 13,2233.66,-0.00,2233.65,2233.64,0.01,0.01,2233.65,0.00,2233.65,0.00,0.00
SiH3CH3 (1.52) mode 14,2233.66,-0.00,2233.66,2233.66,-0.00,-0.00,2233.66,0.00,2233.66,0.00,0.00
SiH3CH3 (1.52) mode 15,2235.38,0.00,2235.39,2235.40,-0.01,-0.02,2235.39,0.00,2235.39,-0.00,-0.00
SiH3CH3 (1.52) mode 16,3038.01,0.01,3038.03,3038.01,0.01,-0.00,3038.00,0.03,3037.98,0.04,0.02
SiH3CH3 (1.52) mode 17,3122.30,0.03,3122.33,3122.30,0.04,0.00,3122.32,0.01,3122.32,0.02,0.00
SiH3CH3 (1.52) mode 18,3122.31,0.04,3122.34,3122.30,0.04,0.01,3122.32,0.02,3122.34,-0.00,-0.02
PH3 (1.53) mode 1,1021.72,-0.03,1021.69,1021.70,-0.01,0.02,1021.71,-0.02,1021.69,-0.00,0.02
PH3 (1.53) mode 2,1145.24,0.00,1145.24,1145.25,-0.01,-0.01,1145.24,0.00,1145.25,-0.01,-0.01
PH3 (1.53) mode 3,1145.25,0.01,1145.25,1145.25,0.00,-0.01,1145.25,0.00,1145.26,-0.00,-0.01
PH3 (1.53) mode 4,2415.51,0.01,2415.52,2415.38,0.14,0.13,2415.52,-0.00,2415.50,0.02,0.02
PH3 (1.53) mode 5,2422.82,0.00,2422.82,2422.82,0.00,-0.00,2422.82,0.00,2422.82,0.00,-0.00
PH3 (1.53) mode 6,2422.82,0.00,2422.82,2422.95,-0.13,-0.13,2422.82,0.00,2422.84,-0.02,-0.02
PF3 (1.54) mode 1,359.20,-0.08,359.12,359.19,-0.07,0.01,359.13,-0.01,359.13,-0.01,0.00
PF3 (1.54) mode 2,359.20,-0.05,359.14,359.20,-0.06,-0.01,359.13,0.01,359.14,0.01,-0.00
PF3 (1.54) mode 3,501.76,-0.30,501.47,501.76,-0.30,-0.00,501.49,-0.03,501.49,-0.03,0.00
PF3 (1.54) mode 4,897.78,0.03,897.80,897.78,0.03,-0.00,897.80,0.00,897.80,0.00,0.00
PF3 (1.54) mode 5,897.78,0.02,897.81,897.78,0.02,0.00,897.81,0.00,897.80,0.00,0.00
PF3 (1.54) mode 6,915.60,0.17,915.76,915.60,0.17,-0.00,915.75,0.01,915.75,0.01,-0.00
HOCl (1.55) mode 1,732.76,-0.23,732.53,732.76,-0.23,-0.00,732.54,-0.01,732.54,-0.01,-0.00
HOCl (1.55) mode 2,1281.46,-0.12,1281.33,1281.46,-0.12,0.00,1281.39,-0.06,1281.39,-0.06,0.00
HOCl (1.55) mode 3,3809.53,0.09,3809.62,3809.53,0.08,-0.00,3809.59,0.02,3809.59,0.02,-0.00
ONCl (1.56) mode 1,343.25,-0.41,342.84,343.25,-0.41,-0.00,342.90,-0.07,342.90,-0.07,0.00
ONCl (1.56) mode 2,609.88,-0.03,609.86,609.88,-0.03,0.00,609.85,0.01,609.85,0.01,-0.00
ONCl (1.56) mode 3,1828.80,0.09,1828.88,1828.80,0.09,0.00,1828.87,0.01,1828.87,0.01,0.00
O3 (1.57) mode 1,715.78,-0.10,715.68,715.69,-0.00,0.09,716.12,-0.43,715.76,-0.08,0.35
O3 (1.57) mode 2,1054.29,0.04,1054.32,1054.32,-0.00,-0.04,1054.21,0.11,1054.32,-0.00,-0.11
O3 (1.57) mode 3,1153.08,0.02,1153.11,1153.11,0.00,-0.02,1152.94,0.17,1153.06,0.05,-0.12
OF2 (1.58) mode 1,469.29,-0.00,469.29,469.29,-0.01,-0.00,469.46,-0.17,469.46,-0.17,0.00
OF2 (1.58) mode 2,867.42,0.00,867.42,867.42,0.00,-0.00,867.42,-0.00,867.42,-0.00,-0.00
OF2 (1.58) mode 3,950.10,0.00,950.11,950.10,0.00,0.00,950.02,0.09,950.02,0.08,-0.00
H2O (1.59) mode 1,1668.92,-0.05,1668.87,1668.92,-0.05,0.00,1668.88,-0.01,1668.88,-0.01,0.00
H2O (1.59) mode 2,3840.90,0.02,3840.92,3840.90,0.02,0.00,3840.92,0.00,3840.92,0.00,0.00
H2O (1.59) mode 3,3945.53,0.00,3945.53,3945.53,0.00,-0.00,3945.53,0.00,3945.53,0.00,-0.00
NF3 (1.60) mode 1,502.54,-0.06,502.48,502.51,-0.03,0.03,502.58,-0.09,502.50,-0.02,0.07
NF3 (1.60) mode 2,502.54,-0.06,502.48,502.51,-0.02,0.04,502.58,-0.09,502.53,-0.05,0.04
NF3 (1.60) mode 3,660.05,-0.14,659.91,660.06,-0.15,-0.01,660.00,-0.10,660.00,-0.09,0.01
NF3 (1.60) mode 4,949.16,0.03,949.20,949.18,0.01,-0.02,949.14,0.06,949.17,0.02,-0.04
NF3 (1.60) mode 5,949.16,0.03,949.20,949.18,0.01,-0.02,949.16,0.04,949.18,0.01,-0.03
NF3 (1.60) mode 6,1058.26,0.09,1058.35,1058.25,0.09,0.00,1058.29,0.06,1058.29,0.06,-0.00
ClF3 (1.61) mode 1,336.96,-0.00,336.96,336.96,0.01,0.01,336.97,-0.01,336.96,0.00,0.01
ClF3 (1.61) mode 2,338.69,-0.26,338.43,338.70,-0.27,-0.01,338.45,-0.02,338.46,-0.03,-0.01
ClF3 (1.61) mode 3,442.05,-0.09,441.96,442.05,-0.09,0.00,441.96,-0.00,441.96,-0.00,0.00
ClF3 (1.61) mode 4,544.47,-0.48,543.99,544.47,-0.48,0.00,543.98,0.01,543.98,0.01,-0.00
ClF3 (1.61) mode 5,735.54,0.06,735.59,735.54,0.06,0.00,735.59,0.00,735.59,0.00,-0.00
ClF3 (1.61) mode 6,765.12,0.46,765.58,765.12,0.46,-0.00,765.57,0.01,765.57,0.01,0.00
HOOH (1.62) mode 1,372.57,-0.40,372.17,372.56,-0.39,0.00,372.19,-0.03,372.19,-0.03,0.00
HOOH (1.62) mode 2,911.86,-0.06,911.79,911.86,-0.06,-0.00,911.89,-0.10,911.89,-0.09,0.00
HOOH (1.62) mode 3,1323.74,-0.10,1323.64,1323.74,-0.10,0.00,1323.65,-0.02,1323.65,-0.02,0.00
HOOH (1.62) mode 4,1435.88,0.10,1435.98,1435.88,0.10,0.00,1435.97,0.01,1435.97,0.01,0.00
HOOH (1.62) mode 5,3807.89,0.02,3807.91,3807.88,0.03,0.01,3808.13,-0.22,3808.06,-0.15,0.08
HOOH (1.62) mode 6,3809.25,0.04,3809.29,3809.26,0.03,-0.01,3809.04,0.25,3809.11,0.17,-0.08
F2CO (1.63) mode 1,588.74,-0.00,588.74,588.74,-0.00,-0.00,588.74,-0.00,588.74,-0.01,-0.00
F2CO (1.63) mode 2,626.11,-0.00,626.11,626.11,-0.00,0.00,626.11,-0.00,626.11,-0.00,0.00
F2CO (1.63) mode 3,786.02,0.00,786.02,786.02,-0.00,-0.00,786.02,0.00,786.02,-0.00,0.00
F2CO (1.63) mode 4,983.54,-0.02,983.53,983.54,-0.02,-0.00,983.54,-0.02,983.54,-0.02,0.00
F2CO (1.63) mode 5,1293.99,0.00,1293.99,1293.99,0.00,-0.00,1293.99,0.00,1293.99,0.00,0.00
F2CO (1.63) mode 6,1978.03,0.01,1978.03,1978.02,0.01,0.00,1978.02,0.01,1978.02,0.01,0.00
SiH2 (1.65) mode 1,1025.33,-0.00,1025.33,1025.33,-0.00,0.00,1025.39,-0.06,1025.39,-0.06,0.00
SiH2 (1.65) mode 2,2060.52,-0.00,2060.52,2060.52,-0.00,0.00,2060.52,-0.00,2060.52,-0.00,0.00
SiH2 (1.65) mode 3,2063.16,0.00,2063.17,2063.16,0.00,-0.00,2063.13,0.03,2063.13,0.03,-0.00
NNO (1.66) mode 1,601.18,0.00,601.18,601.18,0.00,0.00,601.18,0.00,601.18,0.00,0.00
NNO (1.66) mode 2,601.18,-0.00,601.18,601.18,-0.00,-0.00,601.18,-0.00,601.18,-0.00,-0.00
NNO (1.66) mode 3,1297.19,-0.10,1297.09,1297.19,-0.10,-0.00,1297.36,-0.26,1297.36,-0.27,-0.01
NNO (1.66) mode 4,2282.51,0.06,2282.57,2282.51,0.06,0.00,2282.42,0.15,2282.41,0.15,0.00
H2NNH2 (1.67) mode 1,25.93,-0.25,25.68,26.25,-0.57,-0.32,29.03,-3.35,29.30,-3.62,-0.27
H2NNH2 (1.67) mode 2,944.15,-0.36,943.78,944.00,-0.22,0.14,943.87,-0.09,943.87,-0.08,0.00
H2NNH2 (1.67) mode 3,1068.62,-0.25,1068.37,1068.58,-0.21,0.04,1068.44,-0.07,1068.45,-0.08,-0.01
H2NNH2 (1.67) mode 4,1108.53,-0.01,1108.51,1108.53,-0.01,-0.00,1108.46,0.06,1108.45,0.06,0.00
H2NNH2 (1.67) mode 5,1256.91,-0.13,1256.79,1256.88,-0.10,0.03,1256.87,-0.08,1256.88,-0.09,-0.01
H2NNH2 (1.67) mode 6,1487.98,-0.00,1487.98,1487.99,-0.01,-0.01,1488.03,-0.05,1488.03,-0.04,0.01
H2NNH2 (1.67) mode 7,1638.74,-0.06,1638.68,1638.76,-0.08,-0.02,1638.64,0.03,1638.63,0.04,0.01
H2NNH2 (1.67) mode 8,1690.45,0.02,1690.46,1690.55,-0.08,-0.10,1690.41,0.05,1690.41,0.05,0.00
H2NNH2 (1.67) mode 9,3437.64,0.13,3437.77,3437.62,0.16,0.02,3437.75,0.03,3437.66,0.11,0.09
H2NNH2 (1.67) mode 10,3455.25,0.11,3455.35,3455.27,0.08,-0.02,3455.35,0.01,3455.39,-0.04,-0.05
H2NNH2 (1.67) mode 11,3512.91,0.00,3512.91,3512.90,0.00,0.00,3512.88,0.02,3512.94,-0.03,-0.05
H2NNH2 (1.67) mode 12,3533.96,0.01,3533.97,3533.96,0.01,0.00,3533.96,0.01,3533.96,0.01,-0.00
NCCN (1.68) mode 1,236.26,0.00,236.26,236.26,0.00,-0.00,236.26,-0.00,236.26,0.00,0.00
NCCN (1.68) mode 2,236.26,-0.00,236.26,236.26,-0.00,0.00,236.26,-0.00,236.26,-0.00,-0.00
NCCN (1.68) mode 3,498.61,0.00,498.61,498.61,0.00,-0.00,498.61,0.00,498.61,0.00,0.00
NCCN (1.68) mode 4,498.61,-0.00,498.61,498.61,-0.00,0.00,498.61,0.00,498.61,-0.00,-0.00
NCCN (1.68) mode 5,855.83,-0.00,855.82,855.83,-0.00,0.00,856.32,-0.50,856.33,-0.50,-0.00
NCCN (1.68) mode 6,2175.85,0.00,2175.85,2175.85,0.00,-0.00,2175.84,0.00,2175.85,-0.00,-0.00
NCCN (1.68) mode 7,2367.74,0.00,2367.74,2367.74,0.00,-0.00,2367.57,0.17,2367.56,0.18,0.01
NHCH2CH2 (1.69) mode 1,782.51,-0.38,782.13,782.68,-0.55,-0.17,783.75,-1.62,782.86,-0.74,0.89
NHCH2CH2 (1.69) mode 2,841.58,-0.79,840.79,841.51,-0.72,0.07,842.65,-1.86,841.54,-0.75,1.11
NHCH2CH2 (1.69) mode 3,875.94,-1.11,874.83,875.63,-0.80,0.31,873.96,0.87,874.92,-0.10,-0.97
NHCH2CH2 (1.69) mode 4,923.69,-0.26,923.43,923.62,-0.19,0.07,923.59,-0.16,923.65,-0.22,-0.06
NHCH2CH2 (1.69) mode 5,1023.01,-0.54,1022.47,1022.78,-0.31,0.23,1022.80,-0.34,1022.63,-0.16,0.17
NHCH2CH2 (1.69) mode 6,1114.32,-0.73,1113.59,1115.23,-1.64,-0.91,1114.98,-1.38,1114.71,-1.11,0.27
NHCH2CH2 (1.69) mode 7,1119.39,0.80,1120.20,1119.68,0.51,-0.29,1120.28,-0.08,1120.22,-0.03,0.05
NHCH2CH2 (1.69) mode 8,1161.87,0.73,1162.60,1160.93,1.68,0.94,1161.65,0.96,1161.67,0.93,-0.02
NHCH2CH2 (1.69) mode 9,1248.06,-2.12,1245.94,1246.80,-0.86,1.27,1246.13,-0.18,1246.22,-0.28,-0.09
NHCH2CH2 (1.69) mode 10,1270.77,1.50,1272.26,1272.37,-0.11,-1.61,1271.05,1.21,1272.27,-0.00,-1.22
NHCH2CH2 (1.69) mode 11,1307.21,0.38,1307.58,1307.51,0.07,-0.30,1307.25,0.33,1307.45,0.13,-0.20
NHCH2CH2 (1.69) mode 12,1501.65,0.11,1501.76,1501.43,0.34,0.22,1501.61,0.15,1501.36,0.41,0.26
NHCH2CH2 (1.69) mode 13,1531.84,0.81,1532.65,1531.68,0.97,0.16,1532.46,0.19,1532.28,0.37,0.18
NHCH2CH2 (1.69) mode 14,3130.22,0.04,3130.26,3130.22,0.03,-0.01,3130.19,0.07,3130.20,0.06,-0.01
NHCH2CH2 (1.69) mode 15,3137.22,0.04,3137.27,3137.24,0.03,-0.02,3137.18,0.09,3137.19,0.08,-0.01
NHCH2CH2 (1.69) mode 16,3214.71,0.03,3214.74,3214.69,0.05,0.02,3214.70,0.04,3214.69,0.05,0.01
NHCH2CH2 (1.69) mode 17,3227.98,0.05,3228.03,3227.98,0.05,0.00,3227.99,0.04,3227.98,0.05,0.01
NHCH2CH2 (1.69) mode 18,3514.99,0.03,3515.02,3514.99,0.03,-0.00,3515.00,0.02,3515.00,0.02,0.00
H3CCONH2 (1.70) mode 1,58.22,-2.12,56.11,58.35,-2.24,-0.13,56.87,-0.76,56.81,-0.71,0.06
H3CCONH2 (1.70) mode 2,300.81,-0.81,300.00,300.66,-0.66,0.15,301.96,-1.96,302.16,-2.16,-0.20
H3CCONH2 (1.70) mode 3,416.09,0.15,416.24,416.07,0.17,0.02,416.05,0.19,416.00,0.24,0.05
H3CCONH2 (1.70) mode 4,508.46,-0.10,508.36,508.44,-0.08,0.02,508.11,0.25,508.06,0.30,0.04
H3CCONH2 (1.70) mode 5,553.52,0.01,553.53,553.52,0.02,0.00,553.56,-0.03,553.54,-0.01,0.02
H3CCONH2 (1.70) mode 6,638.46,0.01,638.47,638.44,0.03,0.02,638.07,0.39,638.03,0.43,0.04
H3CCONH2 (1.70) mode 7,854.48,-0.33,854.16,854.47,-0.32,0.01,854.47,-0.31,854.46,-0.31,0.01
H3CCONH2 (1.70) mode 8,982.61,-0.66,981.94,982.64,-0.69,-0.03,982.06,-0.11,982.13,-0.19,-0.08
H3CCONH2 (1.70) mode 9,1057.37,-0.01,1057.36,1057.33,0.03,0.04,1057.39,-0.03,1057.41,-0.05,-0.02
H3CCONH2 (1.70) mode 10,1134.28,-0.16,1134.12,1134.24,-0.12,0.04,1134.11,0.01,1134.09,0.03,0.02
H3CCONH2 (1.70) mode 11,1346.33,-2.16,1344.17,1346.89,-2.72,-0.56,1345.67,-1.50,1344.73,-0.55,0.95
H3CCONH2 (1.70) mode 12,1409.04,0.83,1409.87,1408.45,1.42,0.58,1408.74,1.13,1409.72,0.15,-0.98
H3CCONH2 (1.70) mode 13,1480.64,0.20,1480.84,1480.72,0.12,-0.08,1480.59,0.24,1480.50,0.34,0.09
H3CCONH2 (1.70) mode 14,1495.53,0.23,1495.75,1495.55,0.21,-0.02,1495.67,0.09,1495.64,0.11,0.02
H3CCONH2 (1.70) mode 15,1627.37,0.89,1628.26,1627.39,0.87,-0.02,1628.25,0.02,1628.26,0.00,-0.01
H3CCONH2 (1.70) mode 16,1793.90,0.40,1794.31,1793.90,0.41,0.00,1794.17,0.14,1794.15,0.15,0.01
H3CCONH2 (1.70) mode 17,3050.75,-0.13,3050.62,3050.74,-0.12,0.01,3050.62,-0.00,3050.62,0.01,0.01
H3CCONH2 (1.70) mode 18,3122.83,0.12,3122.95,3122.83,0.12,-0.00,3122.94,0.01,3122.93,0.02,0.01
H3CCONH2 (1.70) mode 19,3165.43,0.08,3165.52,3165.43,0.09,0.01,3165.48,0.04,3165.50,0.02,-0.02
H3CCONH2 (1.70) mode 20,3604.37,-0.07,3604.29,3604.38,-0.09,-0.01,3604.30,-0.00,3604.30,-0.01,-0.01
H3CCONH2 (1.70) mode 21,3738.86,0.08,3738.95,3738.85,0.10,0.02,3738.93,0.02,3738.92,0.03,0.01
NHMe2 (1.71) mode 1,223.24,-0.05,223.19,223.24,-0.05,0.00,223.38,-0.19,223.38,-0.18,0.01
NHMe2 (1.71) mode 2,269.12,-0.14,268.98,269.12,-0.14,0.00,269.13,-0.16,269.15,-0.17,-0.02
NHMe2 (1.71) mode 3,385.54,0.01,385.55,385.54,0.02,0.00,385.67,-0.11,385.64,-0.09,0.02
NHMe2 (1.71) mode 4,812.91,-0.21,812.70,812.91,-0.22,-0.00,813.05,-0.35,813.52,-0.82,-0.47
NHMe2 (1.71) mode 5,953.41,-0.01,953.42,953.42,0.00,-0.01,953.29,0.11,952.96,0.46,0.33
NHMe2 (1.71) mode 6,1029.09,-0.24,1028.85,1029.09,-0.24,-0.00,1029.35,-0.50,1029.33,-0.48,0.02
NHMe2 (1.71) mode 7,1101.29,-0.37,1100.92,1101.26,-0.34,0.03,1101.27,-0.34,1101.44,-0.51,-0.17
NHMe2 (1.71) mode 8,1177.67,-0.01,1177.66,1177.66,-0.01,0.00,1177.62,0.03,1177.49,0.17,0.14
NHMe2 (1.71) mode 9,1198.33,-0.05,1198.28,1198.31,-0.03,0.02,1198.29,-0.01,1198.32,-0.04,-0.02
NHMe2 (1.71) mode 10,1273.36,-0.03,1273.31,1273.37,-0.06,-0.02,1273.31,0.01,1273.30,0.01,0.01
NHMe2 (1.71) mode 11,1439.61,-0.67,1438.95,1439.15,-0.20,0.46,1439.18,-0.24,1439.10,-0.16,0.08
NHMe2 (1.71) mode 12,1468.47,-0.70,1467.78,1467.91,-0.13,0.56,1467.80,-0.03,1467.85,-0.07,-0.04
NHMe2 (1.71) mode 13,1477.86,0.55,1478.41,1479.54,-1.13,-1.68,1484.28,-5.87,1478.53,-0.12,5.75
NHMe2 (1.71) mode 14,1492.66,0.01,1492.67,1491.71,0.96,0.95,1489.81,2.86,1492.35,0.32,-2.54
NHMe2 (1.71) mode 15,1503.95,0.40,1504.35,1504.35,0.00,-0.39,1504.35,-0.00,1504.23,0.12,0.12
NHMe2 (1.71) mode 16,1522.20,0.32,1522.52,1521.95,0.57,0.25,1518.94,3.58,1522.15,0.37,-3.21
NHMe2 (1.71) mode 17,1524.64,0.21,1524.84,1524.80,0.04,-0.17,1524.79,0.05,1524.81,0.03,-0.01
NHMe2 (1.71) mode 18,2958.70,-0.40,2958.30,2958.69,-0.39,0.01,2958.34,-0.04,2958.32,-0.02,0.02
NHMe2 (1.71) mode 19,2960.35,-0.44,2959.91,2960.36,-0.44,-0.00,2960.02,-0.11,2960.03,-0.11,-0.00
NHMe2 (1.71) mode 20,3064.86,0.41,3065.27,3064.85,0.42,0.01,3065.36,-0.09,3065.14,0.13,0.22
NHMe2 (1.71) mode 21,3065.91,0.41,3066.32,3065.93,0.40,-0.01,3065.99,0.33,3066.20,0.12,-0.21
NHMe2 (1.71) mode 22,3112.80,0.10,3112.90,3112.78,0.12,0.02,3112.89,0.01,3112.89,0.01,0.00
NHMe2 (1.71) mode 23,3113.70,0.11,3113.81,3113.72,0.09,-0.02,3113.80,0.01,3113.82,-0.02,-0.03
NHMe2 (1.71) mode 24,3524.71,0.02,3524.72,3524.71,0.01,-0.00,3524.71,0.02,3524.71,0.02,-0.00
NH2Et (1.72) mode 1,255.14,-1.05,254.09,255.15,-1.06,-0.02,254.17,-0.08,254.17,-0.08,0.00
NH2Et (1.72) mode 2,287.70,0.81,288.51,287.68,0.84,0.02,288.51,0.00,288.51,-0.00,-0.01
NH2Et (1.72) mode 3,396.65,-0.04,396.61,396.65,-0.05,-0.00,396.71,-0.11,396.73,-0.13,-0.02
NH2Et (1.72) mode 4,777.16,-0.04,777.12,777.18,-0.07,-0.02,777.18,-0.06,777.15,-0.04,0.02
NH2Et (1.72) mode 5,878.98,-1.91,877.07,880.65,-3.58,-1.66,877.32,-0.25,877.34,-0.27,-0.02
NH2Et (1.72) mode 6,913.60,1.25,914.85,911.99,2.86,1.62,915.25,-0.40,915.23,-0.38,0.02
NH2Et (1.72) mode 7,1008.54,-0.18,1008.36,1008.37,-0.01,0.17,1008.51,-0.15,1008.46,-0.10,0.05
NH2Et (1.72) mode 8,1082.36,-0.80,1081.55,1082.39,-0.83,-0.03,1081.96,-0.40,1082.00,-0.45,-0.05
NH2Et (1.72) mode 9,1159.87,0.38,1160.25,1159.78,0.47,0.09,1160.03,0.21,1159.99,0.25,0.04
NH2Et (1.72) mode 10,1276.19,-0.09,1276.10,1276.14,-0.05,0.04,1276.27,-0.18,1276.11,-0.02,0.16
NH2Et (1.72) mode 11,1380.64,-0.38,1380.25,1380.62,-0.37,0.02,1380.77,-0.52,1380.54,-0.28,0.24
NH2Et (1.72) mode 12,1395.92,0.18,1396.10,1396.07,0.03,-0.15,1395.88,0.22,1396.10,-0.00,-0.22
NH2Et (1.72) mode 13,1408.12,0.47,1408.58,1408.05,0.53,0.06,1407.79,0.80,1407.97,0.61,-0.18
NH2Et (1.72) mode 14,1493.29,0.01,1493.31,1493.28,0.02,0.01,1493.29,0.01,1493.22,0.09,0.07
NH2Et (1.72) mode 15,1499.45,-0.01,1499.43,1499.46,-0.03,-0.01,1499.41,0.02,1499.45,-0.02,-0.04
NH2Et (1.72) mode 16,1511.22,0.07,1511.30,1511.28,0.01,-0.06,1511.24,0.05,1511.27,0.02,-0.03
NH2Et (1.72) mode 17,1663.13,0.05,1663.18,1663.20,-0.02,-0.07,1663.11,0.07,1663.13,0.05,-0.02
NH2Et (1.72) mode 18,3022.46,-0.09,3022.37,3022.49,-0.12,-0.04,3022.35,0.02,3022.36,0.01,-0.01
NH2Et (1.72) mode 19,3043.36,0.09,3043.45,3043.37,0.08,-0.01,3043.42,0.03,3043.44,0.01,-0.02
NH2Et (1.72) mode 20,3074.30,-0.19,3074.11,3074.26,-0.15,0.04,3074.11,-0.00,3074.09,0.02,0.02
NH2Et (1.72) mode 21,3099.96,0.13,3100.09,3099.95,0.14,0.01,3100.06,0.03,3100.02,0.07,0.04
NH2Et (1.72) mode 22,3103.06,0.18,3103.24,3103.07,0.17,-0.01,3103.26,-0.02,3103.30,-0.06,-0.04
NH2Et (1.72) mode 23,3477.65,0.10,3477.75,3477.65,0.10,-0.00,3477.73,0.01,3477.73,0.02,0.00
NH2Et (1.72) mode 24,3559.16,0.00,3559.16,3559.16,0.00,0.00,3559.15,0.01,3559.15,0.01,-0.00
CH3COCH3 (1.73) mode 1,21.01,-0.23,20.78,21.05,-0.27,-0.04,23.01,-2.23,22.86,-2.08,0.15
CH3COCH3 (1.73) mode 2,141.16,-0.06,141.09,141.17,-0.07,-0.01,141.39,-0.29,141.37,-0.27,0.02
CH3COCH3 (1.73) mode 3,371.57,-0.02,371.56,371.57,-0.02,-0.00,371.61,-0.05,371.62,-0.06,-0.01
CH3COCH3 (1.73) mode 4,480.48,-0.01,480.47,480.48,-0.01,0.00,480.50,-0.03,480.49,-0.02,0.01
CH3COCH3 (1.73) mode 5,527.64,-0.06,527.58,527.64,-0.06,-0.00,527.64,-0.07,527.65,-0.08,-0.01
CH3COCH3 (1.73) mode 6,794.93,-0.20,794.73,794.94,-0.21,-0.01,795.12,-0.40,795.11,-0.39,0.01
CH3COCH3 (1.73) mode 7,887.50,-0.10,887.40,887.49,-0.09,0.01,887.44,-0.04,887.49,-0.09,-0.05
CH3COCH3 (1.73) mode 8,895.31,-0.79,894.52,895.26,-0.74,0.05,895.31,-0.78,895.34,-0.81,-0.03
CH3COCH3 (1.73) mode 9,1081.24,-0.07,1081.17,1081.25,-0.08,-0.01,1081.21,-0.04,1081.25,-0.08,-0.04
CH3COCH3 (1.73) mode 10,1116.37,-0.10,1116.27,1116.36,-0.10,0.00,1116.28,-0.01,1116.33,-0.06,-0.05
CH3COCH3 (1.73) mode 11,1247.22,-0.76,1246.46,1247.45,-0.99,-0.23,1247.16,-0.70,1246.81,-0.35,0.35
CH3COCH3 (1.73) mode 12,1386.92,0.04,1386.96,1386.94,0.02,-0.02,1387.35,-0.39,1387.17,-0.21,0.18
CH3COCH3 (1.73) mode 13,1394.02,1.09,1395.11,1393.85,1.26,0.17,1394.44,0.67,1394.64,0.47,-0.20
CH3COCH3 (1.73) mode 14,1468.82,-0.02,1468.80,1468.81,-0.01,0.00,1468.43,0.37,1468.52,0.28,-0.09
CH3COCH3 (1.73) mode 15,1474.30,-0.03,1474.27,1474.30,-0.04,-0.01,1474.22,0.05,1474.19,0.08,0.03
CH3COCH3 (1.73) mode 16,1476.74,-0.19,1476.54,1476.71,-0.17,0.03,1476.22,0.33,1476.33,0.21,-0.12
CH3COCH3 (1.73) mode 17,1495.93,0.00,1495.93,1495.93,-0.01,-0.01,1495.89,0.03,1495.89,0.03,-0.00
CH3COCH3 (1.73) mode 18,1786.05,0.17,1786.22,1786.04,0.18,0.01,1786.07,0.15,1786.08,0.14,-0.00
CH3COCH3 (1.73) mode 19,3037.08,0.00,3037.08,3037.06,0.01,0.01,3037.04,0.04,3036.99,0.08,0.04
CH3COCH3 (1.73) mode 20,3042.44,-0.03,3042.41,3042.45,-0.03,-0.01,3042.38,0.03,3042.42,-0.01,-0.04
CH3COCH3 (1.73) mode 21,3103.98,0.04,3104.03,3103.90,0.12,0.08,3104.02,0.00,3104.02,0.00,0.00
